"Case ID","Case version","Specialty","Clinical topic","Reference ID","Organization","Title","Year","Recommendation or section","URL","Access date","Verification status","Review status"
"ent-003","1.1.0","ent","Assessment of severe sore throat, fever, no cough","NICE-NG84","National Institute for Health and Care Excellence","NICE guidance NG84","2026","","https://www.nice.org.uk/guidance/ng84","2026-09-10","source-verified","source-verified-formative"
"ent-004","1.1.0","ent","Assessment of room spins for seconds when i turn in bed or look up","AAO-BPPV","AAO-HNSF","Clinical Practice Guideline: BPPV (Update)","2026","","https://www.entnet.org/quality-practice/quality-products/clinical-practice-guidelines/bppv/","2026-09-10","source-verified","source-verified-formative"
"ent-010","1.1.0","ent","Assessment of my right ear suddenly went deaf this morning with ringing","NICE-NG98","National Institute for Health and Care Excellence","NICE guidance NG98","2026","","https://www.nice.org.uk/guidance/ng98","2026-09-10","source-verified","source-verified-formative"
"gi-003","1.1.0","gastroenterology","Assessment of burning chest after meals and sour taste for months","NICE-CG184","National Institute for Health and Care Excellence","NICE guidance CG184","2026","","https://www.nice.org.uk/guidance/cg184","2026-09-10","source-verified","source-verified-formative"
"gi-004","1.1.0","gastroenterology","Assessment of diarrhea and weight loss for a year, with abdominal bloating after bread","NICE-NG20","National Institute for Health and Care Excellence","NICE guidance NG20","2026","","https://www.nice.org.uk/guidance/ng20","2026-09-10","source-verified","source-verified-formative"
"gi-005","1.1.0","gastroenterology","Assessment of abdominal pain, diarrhea 6-8 times a day, some blood","NICE-NG129","National Institute for Health and Care Excellence","NICE guidance NG129","2026","","https://www.nice.org.uk/guidance/ng129","2026-09-10","source-verified","source-verified-formative"
"gs-001","1.1.0","general-surgery","Assessment of a lump in my right groin that comes out when i cough","HERNIASURGE","HerniaSurge Group","International guidelines for groin hernia management","2026","","https://doi.org/10.1007/s10029-017-1668-x","2026-09-10","source-verified","source-verified-formative"
"gs-004","1.1.0","general-surgery","Assessment of episodes of right upper quadrant pain after fatty meals","NICE-CG188","National Institute for Health and Care Excellence","NICE guidance CG188","2026","","https://www.nice.org.uk/guidance/cg188","2026-09-10","source-verified","source-verified-formative"
"gs-007","1.1.0","general-surgery","Assessment of severe pain and bright blood with bowel movements","ASCRS-FISSURE","American Society of Colon and Rectal Surgeons","Anal fissure clinical practice guideline","2026","","https://fascrs.org/ascrs/media/files/2023-Anal-Fissures-CPG.pdf","2026-09-10","source-verified","source-verified-formative"
"heme-001","1.1.0","hematology","Assessment of i have bruises all over and bleed from gums when brushing","ASH-ITP","American Society of Hematology","ASH guideline for immune thrombocytopenia","2026","","https://ashpublications.org/bloodadvances/article/3/23/3829/428877","2026-09-10","source-verified","source-verified-formative"
"heme-002","1.1.0","hematology","Assessment of i'm tired all the time and my blood tests show low iron","BSG-IDA","British Society of Gastroenterology","Iron deficiency anaemia guideline","2026","","https://gut.bmj.com/content/70/11/2030","2026-09-10","source-verified","source-verified-formative"
"heme-003","1.1.0","hematology","Assessment of numb feet, confusion at times, and i'm pale","NICE-NG239","National Institute for Health and Care Excellence","NICE guidance NG239","2026","","https://www.nice.org.uk/guidance/ng239","2026-09-10","source-verified","source-verified-formative"
"id-001","1.1.0","infectious-disease","Assessment of my employer's tb skin test was positive. i feel fine","NICE-NG33","National Institute for Health and Care Excellence","NICE guidance NG33","2026","","https://www.nice.org.uk/guidance/ng33","2026-09-10","source-verified","source-verified-formative"
"id-004","1.1.0","infectious-disease","Assessment of a bullseye rash on my leg and joint pain","NICE-NG95","National Institute for Health and Care Excellence","NICE guidance NG95","2026","","https://www.nice.org.uk/guidance/ng95","2026-09-10","source-verified","source-verified-formative"
"id-010","1.1.0","infectious-disease","Assessment of my right calf is red, warm, tender after a scrape","NICE-NG141","National Institute for Health and Care Excellence","NICE guidance NG141","2026","","https://www.nice.org.uk/guidance/ng141","2026-09-10","source-verified","source-verified-formative"
"im-003","1.1.0","internal-medicine","Assessment of my pharmacist said my blood pressure is too high. i feel fine","NICE-NG136","National Institute for Health and Care Excellence","NICE guidance NG136","2026","","https://www.nice.org.uk/guidance/ng136","2026-09-10","source-verified","source-verified-formative"
"im-004","1.1.0","internal-medicine","Assessment of i'm thirsty all the time and urinating constantly","NICE-NG28","National Institute for Health and Care Excellence","NICE guidance NG28","2026","","https://www.nice.org.uk/guidance/ng28","2026-09-10","source-verified","source-verified-formative"
"im-005","1.1.0","internal-medicine","Assessment of i've had a cough with yellow phlegm and fever for 5 days","NICE-NG250","National Institute for Health and Care Excellence","NICE guidance NG250","2026","","https://www.nice.org.uk/guidance/ng250","2026-09-10","source-verified","source-verified-formative"
"neph-001","1.1.0","nephrology","Assessment of my doctor said my kidney function is getting worse","NICE-NG203","National Institute for Health and Care Excellence","NICE guidance NG203","2026","","https://www.nice.org.uk/guidance/ng203","2026-09-10","source-verified","source-verified-formative"
"neph-002","1.1.0","nephrology","Assessment of severe right flank pain radiating to my groin, third episode","NICE-NG118","National Institute for Health and Care Excellence","NICE guidance NG118","2026","","https://www.nice.org.uk/guidance/ng118","2026-09-10","source-verified","source-verified-formative"
"neph-008","1.1.0","nephrology","Assessment of i've been vomiting for 3 days and now my urine is scant and dark","NICE-NG148","National Institute for Health and Care Excellence","NICE guidance NG148","2026","","https://www.nice.org.uk/guidance/ng148","2026-09-10","source-verified","source-verified-formative"
"neuro-001","1.1.0","neurology","Assessment of my head is pounding on one side, with nausea and light bothers me","NICE-CG150","National Institute for Health and Care Excellence","NICE guidance CG150","2026","","https://www.nice.org.uk/guidance/cg150","2026-09-10","source-verified","source-verified-formative"
"neuro-003","1.1.0","neurology","Assessment of my face is drooping on the right side since this morning","NICE-BELLS","NICE CKS","Bell’s palsy","2026","","https://cks.nice.org.uk/topics/bells-palsy/","2026-09-10","source-verified","source-verified-formative"
"neuro-005","1.1.0","neurology","Assessment of my right hand shakes when resting and i feel slower","NICE-NG71","National Institute for Health and Care Excellence","NICE guidance NG71","2026","","https://www.nice.org.uk/guidance/ng71","2026-09-10","source-verified","source-verified-formative"
"nsg-002","1.1.0","neurosurgery","Assessment of neck pain shooting down my right arm to the thumb, getting worse over months","NICE-NG59","National Institute for Health and Care Excellence","NICE guidance NG59","2026","","https://www.nice.org.uk/guidance/ng59","2026-09-10","source-verified","source-verified-formative"
"nsg-004","1.1.0","neurosurgery","Assessment of my legs ache and feel heavy when i walk; sitting fixes it","NICE-NG59","National Institute for Health and Care Excellence","NICE guidance NG59","2026","","https://www.nice.org.uk/guidance/ng59","2026-09-10","source-verified","source-verified-formative"
"nsg-006","1.1.0","neurosurgery","Assessment of i keep stumbling, leaking urine, and my memory is slipping","NPH-GUIDELINE","Japanese Society of Normal Pressure Hydrocephalus","Idiopathic normal pressure hydrocephalus guidelines, third edition","2026","","https://doi.org/10.1111/cen3.12759","2026-09-10","source-verified","source-verified-formative"
"obgyn-002","1.1.0","obgyn","Assessment of severe pelvic pain, missed period, spotting","NICE-NG126","National Institute for Health and Care Excellence","NICE guidance NG126","2026","","https://www.nice.org.uk/guidance/ng126","2026-09-10","source-verified","source-verified-formative"
"obgyn-003","1.1.0","obgyn","Assessment of i've had heavy periods for a year and feel exhausted","NICE-NG88","National Institute for Health and Care Excellence","NICE guidance NG88","2026","","https://www.nice.org.uk/guidance/ng88","2026-09-10","source-verified","source-verified-formative"
"obgyn-006","1.1.0","obgyn","Assessment of my periods are painful and i can't get pregnant","NICE-NG73","National Institute for Health and Care Excellence","NICE guidance NG73","2026","","https://www.nice.org.uk/guidance/ng73","2026-09-10","source-verified","source-verified-formative"
"onc-001","1.1.0","oncology","Assessment of i have a cough that won't quit and i've dropped 8 kg in three months","NICE-NG122","National Institute for Health and Care Excellence","NICE guidance NG122","2026","","https://www.nice.org.uk/guidance/ng122","2026-09-10","source-verified","source-verified-formative"
"onc-007","1.1.0","oncology","Assessment of my biopsy came back abnormal and i was sent here to plan treatment","NICE-NG101","National Institute for Health and Care Excellence","NICE guidance NG101","2026","","https://www.nice.org.uk/guidance/ng101","2026-09-10","source-verified","source-verified-formative"
"onc-008","1.1.0","oncology","Assessment of my colonoscopy found a tumor and the biopsy was cancer","NICE-NG151","National Institute for Health and Care Excellence","NICE guidance NG151","2026","","https://www.nice.org.uk/guidance/ng151","2026-09-10","source-verified","source-verified-formative"
"oph-001","1.1.0","ophthalmology","Assessment of my doctor said i have high eye pressure","NICE-NG81","National Institute for Health and Care Excellence","NICE guidance NG81","2026","","https://www.nice.org.uk/guidance/ng81","2026-09-10","source-verified","source-verified-formative"
"oph-002","1.1.0","ophthalmology","Assessment of vision has been blurry with glare at night for a year","NICE-NG77","National Institute for Health and Care Excellence","NICE guidance NG77","2026","","https://www.nice.org.uk/guidance/ng77","2026-09-10","source-verified","source-verified-formative"
"oph-003","1.1.0","ophthalmology","Assessment of my sugars run high. i notice blurry reading lately","NICE-NG242","National Institute for Health and Care Excellence","NICE guidance NG242","2026","","https://www.nice.org.uk/guidance/ng242","2026-09-10","source-verified","source-verified-formative"
"ortho-001","1.1.0","orthopedics","Assessment of my right shoulder is frozen, hard to lift arm","BESS-SHOULDER","British Elbow and Shoulder Society","Frozen shoulder patient care pathway","2026","","https://bess.ac.uk/standards-guidelines/","2026-09-10","source-verified","source-verified-formative"
"ortho-004","1.1.0","orthopedics","Assessment of knee pain and locking after twisting playing soccer","BASK-MENISCUS","British Association for Surgery of the Knee","Meniscal surgery guideline","2026","","https://baskonline.com/professional/clinical-guidelines","2026-09-10","source-verified","source-verified-formative"
"ortho-008","1.1.0","orthopedics","Assessment of rolled right ankle yesterday, swollen and hurts to bear weight","NICE-ANKLE","NICE CKS","Sprains and strains","2026","","https://cks.nice.org.uk/topics/sprains-strains/","2026-09-10","source-verified","source-verified-formative"
"peds-001","1.1.0","pediatrics","Assessment of fever, fussy, pulling right ear for 2 days","NICE-NG91","National Institute for Health and Care Excellence","NICE guidance NG91","2026","","https://www.nice.org.uk/guidance/ng91","2026-09-10","source-verified","source-verified-formative"
"peds-002","1.1.0","pediatrics","Assessment of she's wheezing and can't catch her breath since yesterday","NICE-NG245","National Institute for Health and Care Excellence","NICE guidance NG245","2026","","https://www.nice.org.uk/guidance/ng245","2026-09-10","source-verified","source-verified-formative"
"peds-005","1.1.0","pediatrics","Assessment of had a convulsion during fever, lasted 2 minutes","NICE-CG160","National Institute for Health and Care Excellence","NICE guidance CG160","2026","","https://www.nice.org.uk/guidance/ng143","2026-09-10","source-verified","source-verified-formative"
"pmr-001","1.1.0","pmr","Assessment of right arm and leg still weak, want to walk again without the walker","NICE-NG236","National Institute for Health and Care Excellence","NICE guidance NG236","2026","","https://www.nice.org.uk/guidance/ng236","2026-09-10","source-verified","source-verified-formative"
"pmr-003","1.1.0","pmr","Assessment of my legs feel heavy and ache after walking a block, better when i sit or lean forward","NICE-NG59","National Institute for Health and Care Excellence","NICE guidance NG59","2026","","https://www.nice.org.uk/guidance/ng59","2026-09-10","source-verified","source-verified-formative"
"pmr-005","1.1.0","pmr","Assessment of sharp mid-back pain since i lifted a grocery bag two weeks ago, hard to stand straight","NICE-CG146","National Institute for Health and Care Excellence","NICE guidance CG146","2026","","https://www.nice.org.uk/guidance/cg146","2026-09-10","source-verified","source-verified-formative"
"psych-001","1.1.0","psychiatry","Assessment of i feel sad every day, can't enjoy anything, and struggle at work","NICE-NG222","National Institute for Health and Care Excellence","NICE guidance NG222","2026","","https://www.nice.org.uk/guidance/ng222","2026-09-10","source-verified","source-verified-formative"
"psych-002","1.1.0","psychiatry","Assessment of i worry constantly about everything for years","NICE-CG113","National Institute for Health and Care Excellence","NICE guidance CG113","2026","","https://www.nice.org.uk/guidance/cg113","2026-09-10","source-verified","source-verified-formative"
"psych-010","1.1.0","psychiatry","Assessment of i drink every night, and i've had two duis","NICE-CG115","National Institute for Health and Care Excellence","NICE guidance CG115","2026","","https://www.nice.org.uk/guidance/cg115","2026-09-10","source-verified","source-verified-formative"
"pulm-001","1.1.0","pulmonology","Assessment of i wheeze and cough at night, especially in spring","NICE-NG245","National Institute for Health and Care Excellence","NICE guidance NG245","2026","","https://www.nice.org.uk/guidance/ng245","2026-09-10","source-verified","source-verified-formative"
"pulm-002","1.1.0","pulmonology","Assessment of chronic productive cough and shortness of breath walking two blocks","NICE-NG115","National Institute for Health and Care Excellence","NICE guidance NG115","2026","","https://www.nice.org.uk/guidance/ng115","2026-09-10","source-verified","source-verified-formative"
"pulm-003","1.1.0","pulmonology","Assessment of my wife says i stop breathing at night and i'm exhausted all day","NICE-NG202","National Institute for Health and Care Excellence","NICE guidance NG202","2026","","https://www.nice.org.uk/guidance/ng202","2026-09-10","source-verified","source-verified-formative"
"rheum-001","1.1.0","rheumatology","Assessment of my hand joints swell and are stiff for hours in the morning","NICE-NG100","National Institute for Health and Care Excellence","NICE guidance NG100","2026","","https://www.nice.org.uk/guidance/ng100","2026-09-10","source-verified","source-verified-formative"
"rheum-003","1.1.0","rheumatology","Assessment of my big toe is red, hot, and i can't walk on it","NICE-NG219","National Institute for Health and Care Excellence","NICE guidance NG219","2026","","https://www.nice.org.uk/guidance/ng219","2026-09-10","source-verified","source-verified-formative"
"rheum-005","1.1.0","rheumatology","Assessment of low back pain that's worse in the morning and improves with exercise","NICE-NG65","National Institute for Health and Care Excellence","NICE guidance NG65","2026","","https://www.nice.org.uk/guidance/ng65","2026-09-10","source-verified","source-verified-formative"
"uro-001","1.1.0","urology","Assessment of weak stream, frequency, and getting up at night to urinate","NICE-CG97","National Institute for Health and Care Excellence","NICE guidance CG97","2026","","https://www.nice.org.uk/guidance/cg97","2026-09-10","source-verified","source-verified-formative"
"uro-003","1.1.0","urology","Assessment of severe right flank pain radiating to groin and nausea","NICE-NG118","National Institute for Health and Care Excellence","NICE guidance NG118","2026","","https://www.nice.org.uk/guidance/ng118","2026-09-10","source-verified","source-verified-formative"
"uro-006","1.1.0","urology","Assessment of dull then sharp right testicle pain since yesterday","EAU-UROTRAUMA","European Association of Urology","Paediatric urology: acute scrotum and testicular torsion","2026","","https://uroweb.org/guidelines/paediatric-urology/chapter/the-guideline","2026-09-10","source-verified","source-verified-formative"
